Date,IBM,KO,LMT,MCD,MSFT,SBUX,TTE,UBER,V,XOM
2021-02-26,98.67153930664062,44.36238479614258,304.2002868652344,192.83628845214844,226.40496826171875,101.49516296386719,38.07146072387695,51.75,207.79310607910156,48.002410888671875
2021-03-01,100.17322540283203,45.186424255371094,307.16632080078125,194.8101348876953,230.84771728515625,100.40535736083984,38.35862350463867,54.400001525878906,211.9413299560547,49.7946662902832
2021-03-02,99.83306884765625,45.367530822753906,311.8824157714844,195.2030487060547,227.85659790039062,100.71537780761719,38.530941009521484,54.650001525878906,211.09996032714844,49.50331497192383
2021-03-03,101.51727294921875,45.25886535644531,314.0194396972656,192.53697204589844,221.70889282226562,99.79467010498047,39.015045166015625,56.11000061035156,210.19984436035156,49.900611877441406
2021-03-04,99.65055847167969,45.2226448059082,311.5693054199219,191.62020874023438,220.9002227783203,98.54511260986328,39.64683151245117,53.06999969482422,206.92234802246094,51.83412551879883
2021-03-05,101.9072265625,45.99235534667969,313.57733154296875,193.9868927001953,225.64498901367188,98.83637237548828,40.368873596191406,55.540000915527344,210.74774169921875,53.79412841796875
2021-03-08,103.54995727539062,46.76206588745117,314.51690673828125,195.61463928222656,221.54324340820312,98.67665100097656,39.851959228515625,53.20000076293945,215.50257873535156,53.74115753173828
2021-03-09,103.02725982666016,46.05574417114258,310.87841796875,195.09078979492188,227.7689666748047,100.10472106933594,39.589393615722656,55.25,215.59060668945312,52.91124725341797
2021-03-10,106.08871459960938,46.580955505371094,313.9549560546875,199.54356384277344,226.44393920898438,101.26030731201172,40.70527648925781,57.68000030517578,218.3397674560547,54.53575897216797
2021-03-11,105.48307037353516,46.073856353759766,312.9325256347656,197.91587829589844,231.03282165527344,100.828125,40.72169494628906,58.95000076293945,221.25527954101562,54.1296272277832
2021-03-12,105.87299346923828,45.982547760009766,313.356201171875,198.63616943359375,229.6883087158203,101.28848266601562,41.238609313964844,60.349998474121094,219.50401306152344,54.71232604980469
2021-03-15,106.67778015136719,46.59430694580078,319.0855712890625,206.23211669921875,228.77247619628906,102.31255340576172,40.401695251464844,60.189998626708984,218.4376220703125,53.3173713684082
2021-03-16,106.39569091796875,46.76778793334961,319.74884033203125,205.67088317871094,231.59788513183594,104.60494232177734,39.909393310546875,58.849998474121094,219.83668518066406,52.18727493286133
2021-03-17,107.05111694335938,46.78605651855469,323.33197021484375,209.64657592773438,230.94512939453125,103.77819061279297,40.147342681884766,56.36000061035156,218.19305419921875,52.416831970214844
2021-03-18,107.90568542480469,46.174293518066406,330.1759338378906,208.51466369628906,224.78762817382812,101.10997772216797,38.760684967041016,55.689998626708984,215.8840789794922,50.15665054321289
2021-03-19,106.94326782226562,46.393428802490234,327.0625305175781,208.08436584472656,224.42715454101562,99.90740966796875,39.425289154052734,57.08000183105469,202.42193603515625,49.874122619628906
2021-03-22,108.31221008300781,46.566917419433594,329.4482116699219,210.5446014404297,229.92214965820312,101.06299591064453,39.08888626098633,55.689998626708984,203.49813842773438,49.3620491027832
2021-03-23,108.23754119873047,46.92301559448242,325.71771240234375,209.88978576660156,231.47125244140625,99.8228530883789,38.12532043457031,53.4900016784668,203.64486694335938,48.75285720825195
2021-03-24,108.37030029296875,47.041717529296875,328.0296630859375,209.59042358398438,229.40576171875,98.62029266357422,38.86781311035156,52.56999969482422,203.5666046142578,49.7416877746582
2021-03-25,110.40296173095703,47.49825668334961,332.7274169921875,209.73077392578125,226.36595153808594,100.8563232421875,38.12532043457031,53.88999938964844,203.46878051757812,49.60042953491211
2021-03-26,113.1491470336914,48.42958450317383,335.942138671875,210.67559814453125,230.39952087402344,103.25205993652344,38.94289016723633,54.709999084472656,208.9084014892578,50.95124435424805
2021-03-29,112.71770477294922,49.169185638427734,343.384765625,212.67747497558594,229.19140625,102.52864074707031,39.21818923950195,53.349998474121094,209.86721801757812,50.677547454833984
2021-03-30,111.77190399169922,48.530025482177734,341.3122863769531,210.46038818359375,225.88858032226562,103.59967803955078,39.27659606933594,53.459999084472656,207.31369018554688,50.050697326660156
2021-03-31,110.56059265136719,48.12827682495117,340.3542785644531,209.6746368408203,229.70779418945312,102.66016387939453,38.82609939575195,54.5099983215332,207.14739990234375,49.29142379760742
2021-04-01,110.53569030761719,47.945655822753906,341.75439453125,210.67559814453125,236.1186065673828,102.76351928710938,38.6926155090332,57.599998474121094,212.16635131835938,50.66872024536133
2021-04-05,112.77576446533203,48.21957778930664,348.8746337890625,214.08067321777344,242.66583251953125,104.30432891845703,38.40062713623047,57.400001525878906,214.29913330078125,49.8829460144043
2021-04-06,111.3570556640625,48.56654739379883,349.07733154296875,216.94317626953125,241.48692321777344,106.30547332763672,38.39228439331055,58.04999923706055,213.9176025390625,49.7416877746582
2021-04-07,111.94612121582031,48.648719787597656,350.20111083984375,217.59803771972656,243.47445678710938,106.34304809570312,38.625877380371094,56.88999938964844,214.52418518066406,49.9624137878418
2021-04-08,112.10377502441406,48.50263595581055,355.5711669921875,215.3903350830078,246.73831176757812,106.20211791992188,38.04189682006836,57.83000183105469,215.9232635498047,49.44151306152344
2021-04-09,112.60984802246094,48.55742645263672,355.7646484375,216.5409698486328,249.27149963378906,106.33364868164062,37.53301239013672,57.68000030517578,217.70387268066406,49.32673263549805
2021-04-12,111.66403198242188,48.712642669677734,357.2568664550781,216.0545196533203,249.32994079589844,106.925537109375,37.482948303222656,59.439998626708984,216.67657470703125,49.00006866455078
