,IBM,KO,LMT,MCD,MSFT,SBUX,TTE,UBER,V,XOM,Mkt-RF,SMB,HML,RMW,CMA,RF
2021-02-26,98.67153930664062,44.36238479614258,304.2002868652344,192.83628845214844,226.40496826171875,101.4951629638672,38.07146072387695,51.75,207.7931060791016,48.00241088867188,-0.28,0.34,-1.58,-0.04,-0.37,0.0
2021-03-01,100.17322540283205,45.18642425537109,307.16632080078125,194.8101348876953,230.84771728515625,100.40535736083984,38.35862350463867,54.400001525878906,211.9413299560547,49.7946662902832,2.63,1.11,0.23,-0.41,0.23,0.0
2021-03-02,99.83306884765624,45.36753082275391,311.8824157714844,195.2030487060547,227.85659790039065,100.7153778076172,38.53094100952149,54.650001525878906,211.09996032714844,49.50331497192383,-1.05,-0.77,1.23,0.62,0.2,0.0
2021-03-03,101.51727294921876,45.25886535644531,314.0194396972656,192.53697204589844,221.7088928222656,99.79467010498048,39.015045166015625,56.11000061035156,210.1998443603516,49.900611877441406,-1.57,0.64,3.56,1.67,1.05,0.0
2021-03-04,99.65055847167967,45.2226448059082,311.5693054199219,191.6202087402344,220.9002227783203,98.54511260986328,39.64683151245117,53.06999969482422,206.9223480224609,51.83412551879883,-1.7,-1.11,1.71,1.29,0.44,0.0
2021-03-05,101.9072265625,45.99235534667969,313.57733154296875,193.9868927001953,225.64498901367188,98.83637237548828,40.368873596191406,55.540000915527344,210.74774169921875,53.79412841796875,1.85,0.36,0.61,0.97,0.51,0.0
2021-03-08,103.54995727539062,46.76206588745117,314.51690673828125,195.61463928222656,221.54324340820312,98.67665100097656,39.851959228515625,53.20000076293945,215.5025787353516,53.74115753173828,-0.67,1.47,3.71,1.64,0.88,0.0
2021-03-09,103.02725982666016,46.05574417114258,310.87841796875,195.09078979492188,227.7689666748047,100.10472106933594,39.589393615722656,55.25,215.59060668945312,52.91124725341797,1.79,0.45,-3.23,-1.87,-0.47,0.0
2021-03-10,106.08871459960938,46.58095550537109,313.9549560546875,199.54356384277344,226.4439392089844,101.26030731201172,40.70527648925781,57.68000030517578,218.3397674560547,54.53575897216797,0.68,1.2,1.82,-0.07,0.14,0.0
2021-03-11,105.48307037353516,46.073856353759766,312.9325256347656,197.91587829589844,231.03282165527344,100.828125,40.72169494628906,58.95000076293945,221.2552795410156,54.1296272277832,1.44,1.09,-2.02,-1.42,-0.81,0.0
2021-03-12,105.87299346923828,45.982547760009766,313.356201171875,198.63616943359372,229.6883087158203,101.28848266601562,41.23860931396485,60.34999847412109,219.50401306152344,54.71232604980469,0.1,0.53,1.3,0.64,0.59,0.0
2021-03-15,106.6777801513672,46.59430694580078,319.0855712890625,206.23211669921875,228.77247619628903,102.31255340576172,40.40169525146485,60.18999862670898,218.4376220703125,53.3173713684082,0.7,-0.33,-1.29,0.21,0.08,0.0
2021-03-16,106.39569091796876,46.76778793334961,319.74884033203125,205.6708831787109,231.59788513183597,104.60494232177734,39.90939331054688,58.84999847412109,219.8366851806641,52.18727493286133,-0.43,-1.36,-0.83,0.31,-0.02,0.0
2021-03-17,107.05111694335938,46.78605651855469,323.3319702148437,209.6465759277344,230.94512939453125,103.77819061279295,40.147342681884766,56.36000061035156,218.19305419921875,52.41683197021485,0.33,0.65,0.33,-0.05,0.15,0.0
2021-03-18,107.90568542480467,46.174293518066406,330.1759338378906,208.51466369628903,224.78762817382807,101.10997772216795,38.760684967041016,55.68999862670898,215.8840789794922,50.15665054321289,-1.88,-1.22,2.18,0.96,0.45,0.0
2021-03-19,106.94326782226562,46.39342880249024,327.0625305175781,208.08436584472656,224.4271545410156,99.90740966796876,39.425289154052734,57.08000183105469,202.42193603515625,49.874122619628906,0.25,0.94,-0.99,-0.81,-0.55,0.0
2021-03-22,108.3122100830078,46.5669174194336,329.4482116699219,210.5446014404297,229.92214965820312,101.06299591064452,39.08888626098633,55.68999862670898,203.4981384277344,49.3620491027832,0.55,-1.7,-2.21,-0.25,-0.09,0.0
